Regiao,Produto,NroApolice,NroItem,Data,Categoria,IS,VlrPremio,QtdSinistros,VlrIndenizacao,QtdItens,MesReferencia
Banrisul,431,1103431000014,1,2021-05-07,Passeio - Nacional,43442.00,1174.01,0.00,0.00,1,2021-05-01
Banrisul,431,1103431000015,1,2021-06-07,Passeio - Nacional,34601.49,844.29,0.00,0.00,1,2021-06-01
Banrisul,431,1103431000016,1,2021-06-08,Pick-Up'S Pesadas (Pessoas),211929.30,3851.10,0.00,0.00,1,2021-06-01
Banrisul,431,1103431000017,1,2021-06-08,Passeio - Nacional,92259.09,1314.06,0.00,0.00,1,2021-06-01
Banrisul,431,1103431000018,1,2021-06-09,Passeio - Nacional,22209.66,1449.21,0.00,0.00,1,2021-06-01
Banrisul,431,1103431000019,1,2021-06-10,Passeio - Nacional,38781.90,1396.00,0.00,0.00,1,2021-06-01
Banrisul,431,1103431000020,1,2021-06-10,Passeio - Nacional,24864.30,1057.24,0.00,0.00,1,2021-06-01
Banrisul,431,1103431000021,1,2021-06-10,Pick-Up'S Pesadas (Pessoas),146072.70,2273.08,0.00,0.00,1,2021-06-01
Banrisul,431,1103431000022,1,2021-06-10,Passeio - Nacional,31557.60,1187.58,0.00,0.00,1,2021-06-01
Banrisul,431,1103431000023,1,2021-06-10,Pick-Up'S Leves - Nacional,85361.40,0.03,0.00,0.00,1,2021-06-01
Banrisul,431,1103431000024,1,2021-06-10,Pick-Up'S Pesadas (Pessoas),194190.30,6374.09,0.00,0.00,1,2021-06-01
Banrisul,431,1103431000025,1,2021-06-10,Pick-Up'S Pesadas (Pessoas),67955.40,1154.17,0.00,0.00,1,2021-06-01
Banrisul,431,1103431000026,1,2021-06-10,Pick-Up'S Leves - Nacional,93366.00,866.34,2.00,11292.88,1,2021-06-01
Banrisul,431,1103431000027,1,2021-06-10,Passeio - Nacional,22999.50,-0.00,0.00,0.00,1,2021-06-01
Banrisul,431,1103431000028,1,2021-06-10,Pick-Up'S Pesadas (Pessoas),112077.90,0.02,0.00,0.00,1,2021-06-01
Banrisul,431,1103431000029,1,2021-06-10,Pick-Up'S Pesadas (Pessoas),73653.03,3090.71,0.00,0.00,1,2021-06-01
Banrisul,431,1103431000030,1,2021-06-10,Pick-Up'S Leves - Nacional,63060.30,1021.42,0.00,0.00,1,2021-06-01
Banrisul,431,1103431000031,1,2021-06-10,Passeio - Nacional,24730.20,685.04,0.00,0.00,1,2021-06-01
