MesReferencia,Regiao,Produto,SomaPremio,SomaIndenizacao,SomaSinistros,Exposicao,PremioMedio,Frequencia,CustoMedio
2021-01-01,Bancos,430,1638.25,0.00,0.00,1,1638.25,0.00,0.00
2021-01-01,Bancos,431,325384.22,19366.00,3.00,181,1797.70,0.02,6455.33
2021-01-01,Bancos,436,2804.88,0.00,0.00,2,1402.44,0.00,0.00
2021-01-01,Sicoob,430,482.06,0.00,0.00,1,482.06,0.00,0.00
2021-01-01,Sicoob,431,3143589.45,202982.41,18.00,2127,1477.95,0.01,11276.80
2021-01-01,Sicoob,436,8034.38,0.00,0.00,5,1606.88,0.00,0.00
2021-02-01,Bancos,431,318777.72,30.57,1.00,185,1723.12,0.01,30.57
2021-02-01,Sicoob,430,7458.42,0.00,0.00,6,1243.07,0.00,0.00
2021-02-01,Sicoob,431,3026658.83,226943.42,27.00,2004,1510.31,0.01,8405.31
2021-02-01,Sicoob,436,6321.91,3394.89,1.00,6,1053.65,0.17,3394.89
2021-03-01,Bancos,431,237528.47,9594.91,3.00,155,1532.44,0.02,3198.30
2021-03-01,Bancos,436,1564.33,0.00,0.00,1,1564.33,0.00,0.00
2021-03-01,Sicoob,430,10296.41,0.00,0.00,11,936.04,0.00,0.00
2021-03-01,Sicoob,431,2852060.84,260282.61,41.00,1892,1507.43,0.02,6348.36
2021-03-01,Sicoob,436,17041.34,0.00,0.00,5,3408.27,0.00,0.00
2021-04-01,Bancos,431,221644.93,356934.13,9.00,122,1816.76,0.07,39659.35
2021-04-01,Sicoob,430,6240.06,0.00,0.00,6,1040.01,0.00,0.00
2021-04-01,Sicoob,431,2393414.29,236944.00,39.00,1541,1553.16,0.03,6075.49
2021-04-01,Sicoob,436,4433.74,0.00,0.00,4,1108.43,0.00,0.00
2021-05-01,Bancos,431,339960.24,160206.47,14.00,186,1827.74,0.08,11443.32
2021-05-01,Bancos,436,1562.32,0.00,0.00,1,1562.32,0.00,0.00
2021-05-01,Banrisul,431,1174.01,0.00,0.00,1,1174.01,0.00,0.00
2021-05-01,Sicoob,430,2772.08,0.00,0.00,3,924.03,0.00,0.00
2021-05-01,Sicoob,431,3206892.51,1411330.28,90.00,1992,1609.89,0.05,15681.45
2021-05-01,Sicoob,436,2628.20,0.00,0.00,4,657.05,0.00,0.00
2021-06-01,Bancos,431,414009.68,160172.62,12.00,233,1776.87,0.05,13347.72
2021-06-01,Banrisul,431,197946.02,29834.05,7.00,172,1150.85,0.04,4262.01
2021-06-01,Sicoob,430,6368.63,0.00,0.00,5,1273.73,0.00,0.00
2021-06-01,Sicoob,431,4131660.23,2067246.97,135.00,2818,1466.17,0.05,15312.94
2021-07-01,Bancos,431,420677.99,207224.31,19.00,247,1703.15,0.08,10906.54
2021-07-01,Banrisul,431,880211.47,497416.60,31.00,764,1152.11,0.04,16045.70
2021-07-01,Sicoob,430,3181.56,0.00,0.00,4,795.39,0.00,0.00
2021-07-01,Sicoob,431,4582147.23,2123261.32,172.00,2968,1543.85,0.06,12344.54
2021-07-01,Sicoob,436,4885.73,0.00,0.00,6,814.29,0.00,0.00
2021-08-01,Bancos,431,413383.21,80839.36,12.00,217,1904.99,0.06,6736.61
2021-08-01,Banrisul,431,1038295.63,493513.71,41.00,911,1139.73,0.05,12036.92
2021-08-01,Sicoob,430,6041.51,0.00,0.00,8,755.19,0.00,0.00
2021-08-01,Sicoob,431,4178361.72,2507726.62,177.00,2688,1554.45,0.07,14167.95
2021-08-01,Sicoob,436,3323.58,0.00,0.00,2,1661.79,0.00,0.00
2021-09-01,Bancos,431,373586.22,315115.71,19.00,213,1753.93,0.09,16585.04
2021-09-01,Bancos,436,2810.91,0.00,0.00,2,1405.45,0.00,0.00
2021-09-01,Banrisul,431,1026881.30,611586.30,46.00,895,1147.35,0.05,13295.35
2021-09-01,Sicoob,430,3518.64,0.00,0.00,3,1172.88,0.00,0.00
2021-09-01,Sicoob,431,4523070.53,3279456.48,216.00,2818,1605.06,0.08,15182.67
2021-09-01,Sicoob,436,2675.49,0.00,0.00,2,1337.74,0.00,0.00
2021-10-01,Bancos,431,387719.63,283398.23,18.00,193,2008.91,0.09,15744.35
2021-10-01,Banrisul,431,1036121.70,495394.30,56.00,947,1094.11,0.06,8846.33
2021-10-01,Sicoob,430,4260.27,0.00,0.00,5,852.05,0.00,0.00
2021-10-01,Sicoob,431,4861603.32,3075532.97,253.00,2966,1639.11,0.09,12156.26
2021-10-01,Sicoob,436,2764.57,0.00,0.00,3,921.52,0.00,0.00
2021-11-01,Bancos,431,322413.77,148539.45,11.00,182,1771.50,0.06,13503.59
2021-11-01,Banrisul,431,1181037.55,678792.12,52.00,1013,1165.88,0.05,13053.69
2021-11-01,Banrisul,436,856.41,0.00,0.00,1,856.41,0.00,0.00
2021-11-01,Sicoob,430,4448.87,0.00,0.00,4,1112.22,0.00,0.00
2021-11-01,Sicoob,431,3759993.76,2425181.92,211.00,2313,1625.59,0.09,11493.75
2021-11-01,Sicoob,436,5770.26,0.00,0.00,2,2885.13,0.00,0.00
2021-12-01,Bancos,431,446663.56,386750.97,20.00,217,2058.36,0.09,19337.55
2021-12-01,Banrisul,431,1407065.41,543905.39,67.00,1204,1168.66,0.06,8117.99
2021-12-01,Banrisul,436,810.25,0.00,0.00,2,405.12,0.00,0.00
2021-12-01,Sicoob,430,1183.37,0.00,0.00,2,591.68,0.00,0.00
2021-12-01,Sicoob,431,4241820.84,2426131.82,203.00,2424,1749.93,0.08,11951.39
2021-12-01,Sicoob,436,1734.27,0.00,0.00,2,867.13,0.00,0.00
